Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Cluster
Ballygunge,Kolkata,Beefy Affair,300.0,4.0,100.0,"Tibetan,Italian,Mughlai,Chinese,Kerala",Bright Street Park Circus Area,68.0,0
Ballygunge,Kolkata,Stoner'S Paradise,200.0,3.8,50.0,"Desserts,Fast Food,American,Beverages,Combo",Bright Street Park Circus Area,68.0,1
Bidhannagar,Kolkata,Snacky Chicken,250.0,4.1,100.0,"American,Biryani,Pastas,Combo,Continental,Tibetan,Fast Food,Beverages,Salads",Ib Block Broadway Mall Sector,59.0,1
Kalighat,Kolkata,Wasabee Deshapriya Park,1000.0,3.8999999999999995,100.0,"Japanese,Chinese,Thai,Malaysian,Indonesian,Burmese,Singaporean",Motilal Nehru Road,74.0,1
Baguihati,Kolkata,Raksahb,300.0,4.4,50.0,"Indian,Chinese,Tandoor",Lake Town,90.0,1
Toli Chowki,Hyderabad,Mohammed'S Shawarma,150.0,4.0,500.0,Arabian,Nanal Nagar,55.0,1
Kothrud,Pune,Sugardough,300.0,2.9,80.0,"Continental,American,Desserts,Fast Food,Bakery",Mayur Colony,60.0,1
Pulikeshi Nagar,Bangalore,Sheeshkebab,600.0,4.2,100.0,"Persian,Arabian,Indian,Middle Eastern,Biryani",Mm Road,55.0,1
Uppal,Hyderabad,Master Chef Restaurant,300.0,3.8,1000.0,"Chinese,Biryani,Mughlai,North Indian",Uppal X Roads,61.99999999999999,1
Behala,Kolkata,Dough Knots,200.0,4.1,100.0,Desserts  Bakery  Snacks,Roy Bahadur Road  Near Leather Company,87.0,0
Annanagar East,Chennai,Italian Pizza,200.0,3.4,20.0,"Italian,Continental",Annanagar East,61.99999999999999,0
Pitampura,Delhi,Burgrill - The Win Win Burger,250.0,4.4,100.0,"Salads,Fast Food,Desserts,Continental,Beverages,American",Pitampura,45.99999999999999,0
Deccan Gymkhana,Pune,Venky'S Xprs (Shivaji Nagar),300.0,4.5,50.0,Fast Food,Shivaji Nagar,36.0,1
Sadashiv Peth,Pune,Cafe Durga,100.0,4.2,20.0,Fast Food,Swargate,47.0,0
Redhills,Hyderabad,Khan-E-Khaas,200.0,4.3,20.0,Fast Food,Opp Hp Petrol Pump,47.0,0
Langar Houz,Hyderabad,Dairy Den,200.0,4.2,20.0,Ice Cream  Desserts  Beverages,Gudimalkapur,53.99999999999999,0
Indiranagar,Bangalore,Ambur Star Briyani Since 1890,600.0,4.3,1000.0,"Biryani,Chettinad,Andhra,Beverages,Seafood",Stage 2,48.0,0
Kilpauk,Chennai,Juice Junction,150.0,4.6,500.0,"Juices,Beverages",Kilpauk Garden,53.99999999999999,0
Perambur,Chennai,Riyas Briyani,250.0,4.0,100.0,"Biryani,Tandoor,Chinese,North Indian",Kolathur,60.0,1
Padmarao Nagar,Hyderabad,1D Cafe,200.0,3.7,20.0,Cafe,Padmarao-Nagar,53.0,0
Khilwat,Hyderabad,Dairy Den,200.0,3.4999999999999996,20.0,"Desserts,Ice Cream,Beverages",Chowmahallal Palace,51.0,0
Adajan,Surat,Bhai Bhai Omelette,300.0,4.3,100.0,Biryani,B/S Bhulka Bhawan School,38.0,0
Adajan,Surat,Veera'S Kitchen,500.0,4.2,100.0,"Biryani,Mughlai,North Indian,Indian,Chinese,Tandoor,Hyderabadi",Opp Income Tax Office,48.0,1
Andheri East,Mumbai,Swad Desi,200.0,2.9,80.0,Asian  Fast Food  Chinese  Combo,Andheri East,60.0,1
Piplod,Surat,Shree Ganesh Omlet,300.0,2.9,80.0,Fast Food,Um Road Vesu,63.0,1
Ashok Nagar,Bangalore,Anupams Coast Ii Coast,1200.0,4.0,100.0,"Mangalorean,Chinese,North Indian,Mughlai,Punjabi,Awadhi",Church Street,36.0,0
Balavinayagar Nagar,Chennai,Vigrama Hotel,250.0,4.1,50.0,South Indian,Arumbakkam,61.0,1
Jam Bagh,Hyderabad,Nrs Mamatha Darshini,150.0,4.3,500.0,"South Indian,Chinese",Gowliguda Main Road,28.0,1
Vastrapur,Ahmedabad,Tuli'S Restaurant,200.0,3.8999999999999995,100.0,"Bengali,North Indian,Biryani,Tandoor",Sandesh Press Roadbodakdev,48.0,1
Koramangala - Bangalore,Bangalore,Kitchens Of Punjab,350.0,2.9,80.0,"Punjabi,North Indian,Thalis,Desserts,Beverages",5Th Block,61.0,0
Punjab Bagh,Delhi,The Pizza Dough,200.0,2.7,20.0,"Continental,American,Fast Food,Italian,Mexican,Beverages",Club Road,76.0,1
Ballygunge,Kolkata,Adil Biryani Centre,200.0,4.1,1000.0,Biryani,Shamshul Road Park Circus,58.00000000000001,0
Baranagar,Kolkata,'@69 Food Zone,200.0,3.8,500.0,"Fast Food,Indian,Chinese",Sinthee More Near R.B.T School,69.0,0
Machuabazar,Kolkata,New Zoya Biryani,200.0,3.7,100.0,Mughlai,Maniktala,41.0,1
Sion,Mumbai,Suraj Chinese Corner,250.0,4.1,100.0,Chinese  Beverages,Sion,51.0,1
Ghatkopar West,Mumbai,Decent Restaurant,400.0,3.8,50.0,Chinese  North Indian,Near Vikhroli Fire Station,53.99999999999999,0
Choolaimedu,Chennai,Mujiba Restaurant,300.0,2.9,80.0,"Indian,Chinese",Imbarjapuram 1St Street,91.99999999999999,1
Topsia,Kolkata,Delhi Cake Point,200.0,4.3,20.0,"Bakery,Fast Food",Indian Leather Complex,73.0,0
Koregaon Park,Pune,Chafa Cafe And Studio,900.0000000000001,4.6,100.0,"Italian-American,Fast Food,Continental",Kalyani,58.00000000000001,0
Satellite,Ahmedabad,Goodluck Chicken Hub,500.0,2.9,80.0,"North Indian,Chinese,Tandoor,Biryani",Sg Highway,47.0,0
Amberpet,Hyderabad,Papaji-Da-Dhaba,200.0,4.0,1000.0,"North Indian,Chinese,Tandoor",New Nallakunta,35.0,1
Shahpore,Surat,Favourite Pizza And Grill,200.0,4.3,100.0,"Pizzas,Fast Food,Street Food,Indian,Mughlai",Shahpore,38.0,0
Saki Naka,Mumbai,Chakra,600.0,4.3,100.0,"Indian,Chinese",Sakinaka,45.0,0
Saki Naka,Mumbai,Sudarshan Veg Restaurant,700.0,4.4,500.0,"Indian,Chinese,South Indian",Sakinaka,39.0,1
Kondhwa,Pune,Rasoi Punjab,400.0,3.4999999999999996,20.0,"North Indian,Seafood",Kondhwa,70.0,1
Kondhwa,Pune,Hotel Malabar,400.0,3.3,20.0,"Chinese,North Indian",Kondhwa,80.0,0
Baner,Pune,Hotel Mahabaleshwar,500.0,4.5,100.0,North Indian,Baner,67.0,0
Visharant Wadi,Pune,Kirti Restaurant & Bar,400.0,3.8,20.0,"Chinese,North Indian,Desserts,Fast Food,Beverages,Seafood",Vishrantwadi,64.0,0
Paikpara,Kolkata,Abar Bangali,300.0,3.8,100.0,Bengali,Sarba Khan Road Kolkata,66.0,0
Teynampet,Chennai,Sweetsoul Buddha Bowls,1100.0,4.5,100.0,"Healthy Food,Salads,Desserts",Hotel Raj Park,64.0,1
Basheer Bagh,Hyderabad,The Thick Shake Factory,250.0,4.3,100.0,Beverages,Abids,26.999999999999996,1
Kankurgachi,Kolkata,Flame & Grill,900.0000000000001,4.5,20.0,"North Indian,Continental",Mani Square Mall,67.0,0
Tiretti,Kolkata,Ayan Fast Food Center,200.0,3.6,20.0,Indian,New Cit Road Near Tiretti Bazar Dalhousie Bbd Bagh,51.0,0
Andheri East,Mumbai,180 Bistro,500.0,2.9,80.0,"Indian,Beverages,Biryani,Fast Food",Marol,58.00000000000001,0
Andheri East,Mumbai,De Goa Kitchen,700.0,4.2,100.0,Goan  Seafood,Marol Sakinaka,57.0,0
Chembur,Mumbai,Pot Pourri,1000.0,4.1,20.0,Italian  Continental  Indian  Mexican,Chembur,59.0,1
Guru Nanak Nagar,Pune,Aufside @ Hotfut,400.0,4.4,20.0,"North Indian,Continental,American,Fast Food,Chinese,Pizzas,Desserts",Swargate,53.0,0
Saki Naka,Mumbai,The Bombay Rasoi (North Indian Chinese),300.0,2.9,80.0,"North Indian,Chinese,Tandoor,Combo",Kurla,43.0,1
Annanagar East,Chennai,Chennai Rawther,300.0,3.8999999999999995,100.0,"Biryani,South Indian,North Indian,Chinese",Anna Nagar East,64.0,0
Karve Nagar,Pune,Pramit Veg Non Veg,300.0,2.9,80.0,"North Indian,Fast Food",Kothrud,59.0,1
Kurla,Mumbai,Urban Jalsa,400.0,4.3,100.0,"Fast Food,Continental,Chinese,Special Discount from (The Scoop)",Kurla,33.0,1
Ayanavaram,Chennai,Hotel Noor,350.0,4.2,100.0,Indian,Perambur,52.0,0
Paldi,Ahmedabad,Pickmeal,500.0,4.2,100.0,Indian,Ellisbridge,28.0,1
Kankurgachi,Kolkata,Jungle Safari,900.0000000000001,4.3,20.0,North Indian,Mani Square Mall,58.00000000000001,0
Gopalapuram,Chennai,Cafe Clock,200.0,4.7,100.0,"Beverages,Ice Cream",Royepettah,49.0,0
Kondhwa,Pune,Grub Jars,700.0,4.0,50.0,Fast Food,Hadapsar,78.0,0
Kondhwa,Pune,Double Tea Cafe,200.0,4.1,20.0,"Chinese,Fast Food",Kondhwa,70.0,0
New Magdalla,Surat,Cookie Man,140.0,2.9,80.0,"Bakery,Desserts,Australian,Snacks,Cafe",Vr Mall Dumas Road,64.0,0
Kondhwa,Pune,Filli Bites,200.0,4.3,500.0,"Arabian,Snacks,Fast Food",Kondhwa,66.0,0
Topsia,Kolkata,Momo'S Point,150.0,3.6,20.0,"Chinese,Tibetan,Snacks",Picnic Garden,67.0,1
Khatodra Wadi,Surat,Mcdonald'S,400.0,4.3,500.0,"American,Fast Food",Reliance Mall,33.0,1
Andheri East,Mumbai,Spice Of Kerala,450.00000000000006,4.1,100.0,Kerala,Marol Sakinaka,53.99999999999999,1
Chembur,Mumbai,Oye Kiddan,300.0,4.0,1000.0,North Indian,Chembur,39.0,1
Jodhpur Park,Kolkata,The Tavern Cafe,600.0,2.9,80.0,"Italian,Chinese,Continental",Prince Anwar Shah Road,95.0,1
Somajiguda,Hyderabad,Lucky Multicuisine Restaurant,350.0,3.8999999999999995,1000.0,"North Indian,South Indian,Tandoor,Biryani",Raj Bhavan Quarters Colony,51.0,1
Teynampet,Chennai,Pizza Shop,400.0,3.7,20.0,"Pizzas,Italian,Continental,American,Chinese,Snacks,Desserts,Beverages",Teynampet,70.0,1
College Square,Kolkata,Mughal Arsalan Biryani,200.0,4.0,4999.999999999999,"Indian,Biryani",Mg Road,30.999999999999996,1
Ballygunge,Kolkata,Crystaline,400.0,4.4,20.0,"North Indian,Chinese,Tandoor",Gariahat,72.0,0
Pitam Pura,Delhi,Oriental Mom,600.0,4.2,100.0,"Asian,Chinese,Thai,Burmese",Pitampura,60.0,1
Tolichowki,Hyderabad,Tasty Fish Fry Point,200.0,4.1,20.0,Italian,Darusalam Road Goshal Road,35.0,1
Egmore,Chennai,Zam Zam Fast Food,300.0,3.8999999999999995,500.0,Fast Food,Narayanan Street,34.0,1
Annanagar East,Chennai,Get Diety,500.0,4.1,100.0,"Healthy Food,Continental,Salads,American,Italian,Seafood,Indian,Snacks,Keto,Juices",11Th Main Road,57.0,0
Koramangala,Bangalore,Fiero! Pizzeria,400.0,3.8999999999999995,500.0,"Pizzas,Italian,Pastas,Desserts,Beverages",Koramangala,57.0,0
Koramangala,Bangalore,The Bier Library,600.0,4.3,50.0,"Continental,North Indian,Pizzas,American,Mexican,Italian,Beverages",Narayana Reddy Layout,61.0,1
Koramangala,Bangalore,Terra Bites,700.0,4.4,20.0,"Continental,American,Italian,Mexican",Koramangala 4Th Block,61.0,1
T. Nagar,Chennai,Shawarma Kadai,180.0,4.1,50.0,Arabian,Habibullah Road Tirumalai Pillai Road,61.99999999999999,1
Dum Dum,Kolkata,Downtown Foodstop,300.0,4.0,20.0,"North Indian,Mughlai",North Twenty Four Parganas,82.0,0
Powai,Mumbai,Ranjana'S Rannaghor - The Bengali Kitchen,200.0,4.0,100.0,"Bengali,North Indian,Biryani,Mughlai,Indian,Desserts,Seafood,Snacks,Beverages,Tandoor,Kebabs,Afghani,Thalis,Combo,Barbecue",Stanny Compound,47.0,1
Ambawadi,Ahmedabad,Food Mistri,350.0,4.1,20.0,"North Indian,Middle Eastern,Chinese",Prahlad Nagar,47.0,0
Nanpura,Surat,Chicken Hut,500.0,3.8999999999999995,20.0,"Mughlai,Chinese,Biryani,Fast Food",Nanpura,40.0,0
Kurla West,Mumbai,Konkan Swad,250.0,3.7,100.0,"Konkan,Seafood",Kurla,39.0,0
Kasba,Kolkata,Burger In Law,350.0,4.3,500.0,"American,Fast Food,Beverages",Near Ballygunge Station,76.0,0
Tagore Garden Extension,Delhi,Empress Delhi,800.0,2.9,80.0,"Chinese,North Indian,Continental",Rajouri Garden,78.0,0
Chembur,Mumbai,Sai Darshan,600.0,2.9,80.0,Indian,Chembur,50.00000000000001,1
Boudhanagar Colony,Hyderabad,Meena Bakery,250.0,4.4,100.0,"Bakery,Fast Food",Padmarao Nagar,45.99999999999999,1
Kachiguda,Hyderabad,Nikhils Hot&Spice Chinees Fast Food,300.0,4.0,1000.0,Chinese,Himayathnagar,26.0,1
Bandra East,Mumbai,Devi Prasad,450.00000000000006,2.9,80.0,"Chinese,North Indian",Opp. Colgate Ground,50.00000000000001,0
Narayan Peth,Pune,Ubq By Barbeque Nation,300.0,4.0,100.0,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Deccan,39.0,1
Memnagar,Ahmedabad,Ubq By Barbeque Nation,300.0,3.7,500.0,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Ahmedabad-Satya One,36.0,1
Lakdikapul,Hyderabad,Suprabath Tiffins,300.0,4.2,20.0,South Indian,Public Garden Road,30.999999999999996,1
Humayun Nagar,Hyderabad,50 Fruits,150.0,4.3,100.0,"Juices,Beverages,Healthy Food",Humayun Nagar,49.0,0
Chembur,Mumbai,Chembur Gymkhana (Phase 1),400.0,4.2,1000.0,Indian,Chembur,52.0,0
Kondhwa,Pune,Spice Culture,500.0,4.1,50.0,"Chinese,North Indian,Biryani,Continental,Thai,Pizzas,Pastas",Nibm,68.0,1
Gopipura,Surat,Abu Baba Pizza Corner,400.0,4.1,20.0,"Fast Food,North Indian",Muglisara,44.0,0
Kurla,Mumbai,Minar Restaurant,500.0,2.9,80.0,Chinese,Kurla,42.0,1
Dahin Nagar,Surat,Lk Master Non-Veg,350.0,4.2,100.0,Gujarati,Jahangirpura,75.0,0
Camp,Pune,Fit Food Company,500.0,4.2,100.0,"Healthy Food,Salads,Continental,Juices,Seafood,Beverages",Deccan Tower,45.0,0
Adajan,Surat,Lovely Chicken Corner,500.0,4.2,100.0,"North Indian,Chinese",Opp Income Tax Office,39.0,1
Adajan,Surat,Bhandaris Tandoor,400.0,4.1,50.0,"North Indian,Chinese",Opp Income Tax Office,50.00000000000001,0
Begumpet,Hyderabad,A One Home Foods,220.0,3.7,50.0,South Indian  North Indian  Mughlai,Begumpet,69.0,0
Ahmedabad,Ahmedabad,Mom'S Kitchen,600.0,2.9,80.0,"Chinese,North Indian",Laldarawaja,44.0,1
Vadgaon Budruk,Pune,Deep Roll & Bhurji Centre,200.0,2.9,80.0,"North Indian,South Indian,Snacks,Fast Food,Beverages",Sinhgad Road,80.0,0
Central Kolkata,Kolkata,Royal Singh Da Dhaba,200.0,3.3,20.0,Biryani  Indian  Mughlai,Munsi Para ( Lalabagan),56.0,1
Kurla West,Mumbai,Rangoon Zaika,400.0,3.6,500.0,"Indian,Chinese",Kurla,33.0,1
Kurla West,Mumbai,Golden Palace,450.00000000000006,2.9,80.0,"North Indian,Chinese",Kurla,42.0,0
Ejipura,Bangalore,Lazeez Ambur Dum Biryani,250.0,2.9,80.0,"Biryani,Chinese,North Indian,Punjabi,Snacks,Fast Food",Koramangala 4Th Block,59.0,0
Kondhwa,Pune,Kolhapuri Mirchi,300.0,4.3,20.0,"Maharashtrian,Thalis,Indian,Beverages",Jagtap Chowk,60.0,0
Jayanagar,Bangalore,Cake Paradise,400.0,2.9,80.0,Bakery,Jayanagar 3Rd Block,56.0,0
Basheer Bagh,Hyderabad,Ghrelin - Cafe And Patisserie,450.00000000000006,4.3,500.0,"Desserts,Bakery",Sri Siva Rama Towers,36.0,0
Prashant Vihar Rohini,Delhi,Haq Se Punjab,300.0,4.3,20.0,"North Indian,Continental",Rohini Sector 14,61.0,0
Sector 37,Delhi,Pizza Burger Point,200.0,2.9,80.0,"Burmese,Pizzas,North Indian,Fast Food,Chinese,Italian,Beverages",Rithala Metro Station Near Sai Baba Mandir,45.0,1
Sector 37,Delhi,Italiano Kitchen,200.0,2.9,80.0,"Italian,North Indian,Chinese,Fast Food,Beverages",Rithala Metro Station Sai Baba Mandir,49.0,0
Powai,Mumbai,Temptationz Cakes & More,500.0,3.8999999999999995,100.0,Desserts  Bakery  Fast Food,Powai,59.0,1
Khar West,Mumbai,Fat Kongg,500.0,4.2,50.0,Chinese  Continental  Thai,Bandra West,53.99999999999999,0
Hindustan Park,Kolkata,The Green House Cafe,500.0,2.9,80.0,"Italian,Chinese",Suthern Avenue,74.0,1
Kasba,Kolkata,Officer'S Kitchen,250.0,4.2,500.0,"Chinese,Indian,Tandoor",Bosepukur,72.0,1
Bidhannagar,Kolkata,Empty Stomach,250.0,2.9,80.0,"Chinese,Indian",Sector 4 Salt Lake,64.0,0
Santosh Nagar,Hyderabad,Al Rabea Al Arabi Cafeteria,250.0,4.3,1000.0,"Lebanese,Arabian,Fast Food",Santosh Nagar,49.0,0
Varachha,Surat,Taaza Restaurant,300.0,2.9,80.0,"Indian,Chinese",Gulambaba Compound,44.0,1
Ashok Nagar,Bangalore,Chianti,1250.0,4.7,50.0,"Italian,Pizzas,Salads,Pastas,Desserts",Ramanashree Arcade,45.99999999999999,0
Rohini,Delhi,Tandoori Chubara,400.0,4.2,100.0,Tandoor,Block-7 Pocket -1 Sector-16,52.0,1
Wanwadi,Pune,Cafe Good Day,250.0,2.9,80.0,"Fast Food,Beverages",Wanowrie,66.0,0
Andheri East,Mumbai,Paa G,400.0,2.9,80.0,North Indian  Chinese  Italian,Andheri East,61.99999999999999,1
Somajiguda,Hyderabad,Headquarters,1100.0,2.9,80.0,"Continental,Italian,North Indian,Chinese",Raj Bhavan Rd,60.0,0
Himayatnagar,Hyderabad,Black Pearl - Hotel Central Park,300.0,3.3,100.0,North Indian  Chinese  Indian,Basheer Bagh,37.0,0
Punjagutta,Hyderabad,By The Bay,1200.0,3.7,20.0,"Indian,Asian,Italian,European",Khairatabad,57.0,0
Beleghata,Kolkata,Pangong,250.0,4.5,100.0,"Chinese,Indian,Fast Food",Beliaghat,51.0,1
Chembur,Mumbai,Slice Of Italy,400.0,2.9,80.0,Fast Food,Chembur,53.0,1
Kodihalli,Bangalore,Chai Days,200.0,4.4,1000.0,"Beverages,Snacks,Combo,Bakery",100Ft Road,53.0,0
Anna Nagar West Extension,Chennai,Chennai Cakes,200.0,4.2,50.0,Bakery,Anna Nagar West Extn,68.0,0
Indiranagar,Bangalore,Viceroy'S Sarathi,600.0,2.9,80.0,"Chinese,North Indian,Beverages,Seafood",Krishna Temple Road,61.99999999999999,1
Perambur,Chennai,Dharani Home Mades,200.0,4.1,500.0,"Snacks,Fast Food",M H Road South,48.0,0
Kurla West,Mumbai,Kurla Juicy Hut,300.0,4.1,100.0,"Beverages,Desserts",Kurla,35.0,0
Saki Naka,Mumbai,Royal Darbar,400.0,2.9,80.0,Chinese,Kurla,44.0,1
Shalimar Bagh,Delhi,Mandarin Oak- The Heavenly Chinese,350.0,4.2,50.0,"Chinese,Asian,Thai",Shalimar Bagh,72.0,1
Ejipura,Bangalore,Ghar Ka Tadka,400.0,4.0,20.0,"North Indian,Home Food,South Indian",Ejipura,58.00000000000001,0
Indiranagar,Bangalore,Candice'S Gourmet Sandwiches,650.0,4.4,100.0,"Continental,American",Blr_Indiranagar,55.0,0
Amberpet,Hyderabad,Hotel Mukrram,300.0,4.1,100.0,Biryani,Turab Nagar,43.0,0
Kondhwa,Pune,Ya Habibi Fatayer,400.0,2.9,80.0,Arabian,Kondhwa,74.0,1
Ballygunge,Kolkata,Rajshahi Restaurant,200.0,3.8,50.0,Indian,Ustad Enayat Khan Avenue,63.0,1
Koramangala,Bangalore,Halli Donne Biryani,200.0,3.7,50.0,South Indian,5Th Block,52.0,0
Kalighat,Kolkata,The Masala Club,250.0,4.6,50.0,"Fast Food,Chinese",Rash Behari Avenue,72.0,1
Saki Naka,Mumbai,The Spot.,500.0,2.8,20.0,Fast Food,Marol,45.99999999999999,1
Rohini,Delhi,Barista,350.0,3.4999999999999996,20.0,"Beverages,Snacks,Desserts",Unity One Mall Rohini,44.0,0
Begampura,Surat,Pizza & Plus,250.0,2.9,80.0,"Chinese,Pizzas,Combo,North Indian",Begampura,44.0,1
Antop Hill,Mumbai,New Punjab Restaurant,200.0,3.8999999999999995,50.0,Indian,Sion Bhakti Park,58.00000000000001,1
Ballygunge,Kolkata,Al Helal Restaurant,150.0,4.2,100.0,Biryani  Mughlai,Lal Majid Beckbagan Road,51.0,0
Begampura,Surat,Nasiri Chilli 'N' Spice,300.0,3.7,50.0,"Chinese,North Indian",Salabatpura,45.0,1
Bidhannagar,Kolkata,New Simla Restaurant,150.0,3.8999999999999995,100.0,Biryani,Saltlake Sector-Iv,52.0,1
Lake Town,Kolkata,Oudh 1590,1000.0,4.3,1000.0,"Biryani,Mughlai,North Indian,Awadhi,Kebabs,Lucknowi",Kalindi,71.0,1
Vesu,Surat,Paan Casa,200.0,2.9,80.0,"Fast Food,Beverages",Vesu,58.00000000000001,1
Srirampura,Bangalore,Karnataka Biryani Point,250.0,4.1,100.0,Biryani,Rajajinagar,47.0,0
Tiljala,Kolkata,Yummy Paratha,300.0,4.3,100.0,"North Indian,Beverages,Desserts,Biryani,Indian",Binay Singh Colony Tiljala Picnic Garden Road,71.0,1
Bidhannagar,Kolkata,Jaluk,300.0,4.3,100.0,Assamese,Nayapatti Main Street,74.0,0
Mehdipatnam,Hyderabad,Amfah Hotel,200.0,4.2,50.0,"Biryani,North Indian,Chinese",Near Rytu Bazar Bus Stop,47.0,0
Entally,Kolkata,Kolkata Bites,300.0,4.0,50.0,"Indian,Snacks,Chinese,Desserts,Beverages,Pizzas,Pastas,Biryani",Syed Ahmed Road,51.0,0
Indiranagar,Bangalore,Biryani Khazana,250.0,3.7,50.0,Biryani,Indiranagar,59.0,0
Santacruz East,Mumbai,Shekhar Family Restaurant,350.0,3.8,20.0,Chinese  North Indian,Scruz Bandra East,45.0,1
Asalpha,Mumbai,Modern Kitchen,500.0,2.9,80.0,"Indian,Chinese",Vijay Shopping Center Opp Peninsula Hotel,47.0,1
Sayedpura,Surat,Spice Chinese Aloopuri-Khavsa,200.0,3.8,100.0,Fast Food,Rani Talav,50.00000000000001,1
Adajan,Surat,Barbecue Chicken,300.0,4.2,50.0,"Chinese,Mughlai",Adajan Gam,49.0,0
Shivajinagar,Pune,The Deccan Bid Capital,1200.0,2.9,80.0,"North Indian,Continental",Shivaji Nagar,39.0,1
T. Nagar,Chennai,Mambalam Annashree,250.0,4.1,1000.0,"South Indian,North Indian,Chinese",Vijayaraghava Road,61.0,1
Kurla,Mumbai,Mahesh Lunch Home & Bar,500.0,4.3,50.0,Indian,Kurla,41.0,1
Deccan Gymkhana,Pune,Monginis,150.0,2.9,80.0,Fast Food,Shivajinagar,33.0,1
Ashok Nagar,Bangalore,Green Onion Chinese,450.00000000000006,4.4,500.0,Chinese,Residency Roadmg Road,33.0,0
Himayatnagar,Hyderabad,Barcenos Pizza,300.0,3.8,20.0,"Pizzas,Beverages",Street No 6,33.0,0
Govandi East,Mumbai,Unique Chinese Point,400.0,3.8999999999999995,100.0,Chinese,Chembur,57.0,1
Ballygunge,Kolkata,Sfc Food Funda,250.0,2.9,80.0,"Fast Food,Biryani",Tiljala,68.0,1
Azad Nagar,Bangalore,Hotel Bilal Biriyani Centre,180.0,3.8999999999999995,20.0,Biryani,Basavanagudi,58.00000000000001,0
Taltala,Kolkata,Ather Biryani,200.0,2.9,80.0,Mughlai,Ripan Street,49.0,0
Ashok Nagar,Bangalore,The Bar Stock Exchange,800.0,2.9,80.0,"Chinese,North Indian,Continental,Pan-Asian,Thai",St. Marks Road,39.0,1
Adajan,Surat,Baba Omlet Center,200.0,4.3,50.0,Fast Food,Adajan Pal Road,49.0,0
Budhwar Peth,Pune,Tiranga Budhwar Peth (Main Branch),400.0,4.1,100.0,"Biryani,Maharashtrian,North Indian",Swargate,32.0,1
Tangra,Kolkata,Uddta Punjab By Don Gio (Science City),900.0000000000001,3.8,20.0,"North Indian,Fast Food",Metropolitan Housing Society,61.0,1
Thirunagar Signal Vadapalani,Chennai,Nalan Restaurant,300.0,3.6,20.0,"North Indian,South Indian,Indian",Thirunagar Signal,75.0,1
Pashan,Pune,Pie - Pan India Eatery,500.0,2.9,80.0,"North Indian,Chinese",Baner,79.0,1
Begampura,Surat,Classic Chicken Mamna (Tandoori & Paratha),350.0,3.7,1000.0,"North Indian,Biryani,Kebabs,Tandoor,Combo,Mughlai,Afghani,Seafood",Zampa Bazar,35.0,0
Powai,Mumbai,Fisherman'S Cove - Taste On Palate,800.0,4.0,100.0,Seafood  North Indian  Chinese  Tandoor  Thai,Andheri East,56.0,0
Kurla West,Mumbai,Royal Falooda,400.0,4.0,50.0,"Desserts,Ice Cream",Kurla,30.999999999999996,1
Golpark,Kolkata,Momo World,300.0,3.8,100.0,"Tibetan,Chinese",Keyatala,75.0,1
Hadapsar,Pune,Dawat Biryani,250.0,3.8999999999999995,20.0,"North Indian,Fast Food",Magarpatta,78.0,0
Adajan,Surat,Sobis Diet Farm,400.0,4.8,50.0,Fast Food,Adajan Gam,52.0,1
Kothrud,Pune,Cafe Arabia,300.0,4.4,100.0,"Lebanese,Middle Eastern,Mediterranean",Kothrud,53.99999999999999,0
Toli Chowki,Hyderabad,Zafar'S Fine Dine,400.0,4.0,100.0,"Arabian,Mughlai,North Indian",Tolichowki,61.0,1
Ballygunge,Kolkata,Chez - Pan Oriental Kitchen,350.0,4.4,1000.0,"Chinese,Pan-Asian,Asian,Burmese,Thai",Jodhpur Garden,75.0,0
Annamalai Colony,Chennai,Little India,200.0,4.2,100.0,"North Indian,South Indian,Chinese",Vadapalani,82.0,1
Hyderabad,Hyderabad,Phulkaas,200.0,3.8,100.0,North Indian,Musheerabad,40.0,1
South Dumdum,Kolkata,Combo.Com,300.0,3.8999999999999995,100.0,"Combo,Chinese,Tandoor,North Indian,Biryani,Mughlai",Baguihati,81.0,0
Santacruz East,Mumbai,Santosh Lunch Home,450.00000000000006,4.2,50.0,Indian,Scruz Bandra East,40.0,1
Aminjikarai,Chennai,The Brownie Studio,300.0,4.7,500.0,"Bakery,Desserts,Snacks,Ice Cream,Beverages",Shenoy Nagar,51.0,1
Wadgaon Budruk Tilak Road,Pune,Ankur Biryanis,300.0,2.9,80.0,"Biryani,Indian",Wadgaon Budruk Tilak Road,75.0,0
Gurukul,Ahmedabad,Eggs & Eggs,200.0,4.4,20.0,Fast Food,Vastrapur,48.0,0
Kondhwa,Pune,Lucky Chinese And Snacks Centre,300.0,2.9,80.0,Chinese,Shivnery Nagar,82.0,0
Indiranagar,Bangalore,New Life Kerala Mess,200.0,4.3,100.0,South Indian,Indiranagar,50.00000000000001,1
Teynampet,Chennai,The Bark,500.0,4.6,20.0,"Italian,Mexican,Continental",Maharaja Surya Rao Road,61.99999999999999,1
Old Malakpet,Hyderabad,Zam Zam Arabian Mandi,300.0,3.7,20.0,Arabian,Hitec Garden Road,37.0,1
Santacruz East,Mumbai,Chan Su Chinese,400.0,2.9,80.0,Chinese,Scruz Bandra East,40.0,0
